Payment Method,Pt Amount,From Country,Institute
Debit/Credit Card in LKR,"1,674,200.00 ?",Sri Lanka,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Sri Lanka,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in SZL,"E142,710.00",Swaziland,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in ZAR,"R141,966.00",Swaziland,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in ZAR,"R141,966.00",Swaziland,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Swaziland,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in SZL,"E142,710.00",Swaziland,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in ZAR,"R141,965.00",Swaziland,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in ZAR,"R141,965.00",Swaziland,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Swaziland,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Swedish Krona (SEK),"kr90,910.00",Sweden,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in SEK,"kr91,788.00",Sweden,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in SEK,"kr91,788.00",Sweden,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"kr90,910.00",Sweden,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Swiss Francs (CHF),"Fr10,142.00",Switzerland,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in CHF,"Fr10,339.00",Switzerland,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in CHF,"Fr10,339.00",Switzerland,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in TWD,"320,375.00 NT$",Taiwan,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Taiwan,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.778,00 €",Taiwan,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in British Pounds (GBP),"£7,738.00",Taiwan,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in THB,"?347,441.00",Thailand,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer in Thai Baht (THB),"?337,830.00",Thailand,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in THB,"?347,441.00",Thailand,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer in Thai Baht (THB),"?337,830.00",Thailand,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Timor-Leste,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in XAF,"5,900,200.00 Fr",Togo,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in XAF,"5,900,200.00 Fr",Togo,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Togo,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in New Zealand Dollar (NZD),"$14,795.00",Tokelau,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in TOP,"T$23,967.00",Tonga,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Tonga,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in TTD,"70,632.00 TT$",Trinidad and Tobago,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Trinidad and Tobago,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Canadian Dollars (CAD),"$13,638.00",Trinidad and Tobago,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in TND,"27,439.000 dt",Tunisia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.778,00 €",Tunisia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Tunisia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in British Pounds (GBP),"£7,738.00",Tunisia,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in TRY,"49,369.00 TL",Turkey,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Turkish Lira (TRY),"48,102.00 TL",Turkey,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Turkmenistan,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Turks and Caicos Islands,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in AUD,"A$14,150.00",Tuvalu,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in AUD,"A$14,150.00",Tuvalu,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in New Zealand Dollar (NZD),"$14,792.00",Tuvalu,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Tuvalu,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in UGX,"40,747,000.00 USh",Uganda,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Uganda,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in UAH,"274,595.00 ?",Ukraine,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.778,00 €",Ukraine,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.863,00 €",Ukraine,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.863,00 €",Ukraine,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Ukraine,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer in Emirati Dirham (AED),"?.?37,399.00",United Arab Emirates,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in AED,"?.?38,699.00",United Arab Emirates,SUNY Jamestown Community College - FSA Residence Life
American Express in AED,"?.?38,699.00",United Arab Emirates,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in British Pounds (GBP),"£7,738.00",United Kingdom,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in GBP,"£7,813.00",United Kingdom,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in GBP,"£7,813.00",United Kingdom,SUNY Jamestown Community College - FSA Residence Life
American Express in GBP,"£7,813.00",United Kingdom,SUNY Jamestown Community College - FSA Residence Life
PayPal in GBP,"£7,888.00",United Kingdom,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"£7,738.00",United Kingdom,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in UYU,"$332.300,00",Uruguay,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Uruguay,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Uzbekistan,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in UZS,"82,994,000.00 ??",Uzbekistan,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in VUV,"Vt1,158,804",Vanuatu,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Vanuatu,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in New Zealand Dollar (NZD),"$14,824.00",Vanuatu,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.876,00 €",Holy See (Vatican City State),SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.876,00 €",Holy See (Vatican City State),SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.791,00 €",Holy See (Vatican City State),SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.962,00 €",Holy See (Vatican City State),SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00","Venezuela, Bolivarian Republic of",SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in VND,"?241.645.900,0",Viet Nam,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Viet Nam,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00","Virgin Islands, British",SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00","Virgin Islands, U.S.",SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XPF,"1,074,978.00 Fr",Wallis and Futuna,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in New Zealand Dollar (NZD),"$14,819.00",Wallis and Futuna,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Wallis and Futuna,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Western Sahara,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in YER,"2,637,600.00 ?",Yemen,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Yemen,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Zambia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in South African Rand (ZAR),"R139,724.00",Zambia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Zimbabwe,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in South African Rand (ZAR),"R139,726.00",Zimbabwe,SUNY Jamestown Community College - FSA Residence Life
